alert_id,customer_id,customer_segment,customer_tenure_years,country,counterparty_country,txn_amount,txn_type,counterparty,alert_reason,prior_alerts_90d,is_true_positive
AL000061,C20543,retail,17,FR,SG,15343.74,ach,CP1653,dormant_reactivation,0,0
AL000062,C45325,business,24,FR,DE,41830.74,ach,CP1659,dormant_reactivation,5,0
AL000063,C53687,private,15,SG,KP,137177.0,card,CP6260,high_risk_geo,5,0
AL000064,C51224,retail,1,MX,SG,3329.79,ach,CP5135,velocity,2,0
AL000065,C75338,retail,16,RU,AE,43494.5,ach,CP8242,dormant_reactivation,0,0
AL000066,C30758,private,25,GB,RU,24338.65,wire,CP6091,dormant_reactivation,1,0
AL000067,C45838,retail,22,CA,CA,5000.0,ach,CP7807,round_amount,0,0
AL000068,C46208,business,4,KP,GB,10000.0,card,CP7798,round_amount,0,0
AL000069,C68529,retail,15,FR,MX,15068.08,ach,CP9824,dormant_reactivation,8,0
AL000070,C63841,retail,7,AU,JP,9594.89,ach,CP1715,pep_match,1,0
AL000071,C67711,retail,10,AU,GB,5000.0,wire,CP2633,round_amount,5,0
AL000072,C20527,retail,22,GB,GB,117637.9,card,CP6383,sanctions_match,0,0
AL000073,C92727,business,19,BR,NG,44394.45,ach,CP5708,dormant_reactivation,0,0
AL000074,C17355,business,0,AU,MM,43654.45,ach,CP5806,dormant_reactivation,1,1
AL000075,C86435,retail,21,DE,GB,8183.4,ach,CP3344,structuring,0,0
AL000076,C55293,retail,2,SG,US,23369.61,wire,CP5901,pep_match,0,0
AL000077,C85341,retail,12,FR,FR,9988.63,card,CP5847,structuring,0,0
AL000078,C89569,business,24,AU,US,19903.44,card,CP6772,high_risk_geo,3,0
AL000079,C85965,retail,25,FR,GB,5038.76,ach,CP6977,dormant_reactivation,0,0
AL000080,C45720,private,11,FR,AU,8239.74,cash,CP3695,structuring,3,0
AL000081,C39571,retail,2,BR,MX,43545.77,card,CP7511,dormant_reactivation,0,0
AL000082,C86619,business,23,MX,AU,66482.42,wire,CP7242,sanctions_match,0,0
AL000083,C18285,business,19,AE,SG,155076.94,card,CP8606,sanctions_match,0,1
AL000084,C69459,business,17,AU,US,76438.96,ach,CP7078,sanctions_match,0,1
AL000085,C58566,retail,8,AU,GB,5000.0,card,CP4559,round_amount,1,0
AL000086,C26011,retail,8,MX,JP,23033.92,ach,CP8450,high_risk_geo,0,0
AL000087,C86858,retail,24,US,JP,9965.52,cash,CP4538,structuring,0,0
AL000088,C24408,business,8,GB,US,4299.11,wire,CP1422,velocity,0,0
AL000089,C72422,retail,3,DE,US,8381.15,wire,CP8344,structuring,0,0
AL000090,C94323,private,16,CA,DE,58673.01,cash,CP1510,high_risk_geo,2,0
AL000091,C26540,retail,19,AU,CA,50000.0,wire,CP5505,round_amount,0,0
AL000092,C95814,retail,22,JP,FR,100000.0,ach,CP4522,round_amount,0,0
AL000093,C59060,retail,10,BR,SG,50000.0,cash,CP3500,round_amount,0,0
AL000094,C86869,retail,4,CA,AE,5000.0,cash,CP6400,round_amount,0,0
AL000095,C30280,retail,18,AU,NG,242115.46,ach,CP8900,sanctions_match,0,0
AL000096,C90422,retail,24,JP,FR,9523.18,ach,CP1430,high_risk_geo,1,0
AL000097,C84228,retail,5,FR,FR,38167.99,card,CP7566,dormant_reactivation,0,0
AL000098,C84395,retail,9,US,DE,50000.0,ach,CP2391,round_amount,0,0
AL000099,C77154,business,8,US,FR,50000.0,ach,CP2864,round_amount,0,0
AL000100,C37686,retail,6,SG,FR,55519.35,card,CP3248,sanctions_match,0,0
AL000101,C56421,private,17,CA,AU,8082.92,ach,CP2180,structuring,0,0
AL000102,C25096,retail,20,AU,CA,15790.42,ach,CP7636,pep_match,0,0
AL000103,C61873,retail,12,SG,MX,109459.59,wire,CP6083,sanctions_match,0,0
AL000104,C94599,private,23,GB,CA,151990.41,card,CP3419,high_risk_geo,0,0
AL000105,C83889,retail,20,DE,GB,38005.79,wire,CP8354,pep_match,5,0
AL000106,C49691,retail,15,NG,JP,48554.46,ach,CP5500,pep_match,0,0
AL000107,C76462,retail,2,CA,SG,14694.07,card,CP7299,sanctions_match,0,0
AL000108,C55015,retail,14,US,DE,3044.78,ach,CP2381,velocity,5,0
AL000109,C54350,retail,9,DE,SG,15454.96,wire,CP1857,high_risk_geo,0,0
AL000110,C53694,private,19,AE,AU,1297.38,card,CP2335,velocity,5,0
AL000111,C53054,retail,12,JP,AU,9103.14,card,CP3093,structuring,0,0
AL000112,C38074,retail,11,NG,VE,161683.19,ach,CP6598,sanctions_match,0,0
AL000113,C79013,business,17,DE,KP,74300.13,cash,CP1618,sanctions_match,0,0
AL000114,C67366,retail,25,ZA,AU,8155.32,card,CP1715,structuring,2,0
AL000115,C71474,retail,7,DE,ZA,3774.34,cash,CP4178,velocity,0,0
AL000116,C28140,retail,6,BR,FR,19217.25,ach,CP5096,pep_match,5,0
AL000117,C68893,retail,24,JP,CA,42325.44,card,CP9410,dormant_reactivation,0,0
AL000118,C59140,retail,12,DE,MX,104016.78,ach,CP4678,sanctions_match,0,0
AL000119,C71487,retail,4,NG,GB,7883.88,card,CP8349,structuring,0,0
AL000120,C49472,retail,24,AE,GB,23804.52,ach,CP2996,high_risk_geo,0,0
AL000121,C66261,retail,22,SG,SG,15721.08,ach,CP1025,high_risk_geo,1,0
AL000122,C76535,retail,16,AU,CA,24493.09,wire,CP1333,high_risk_geo,0,0
AL000123,C23587,retail,23,AU,SY,1008.86,cash,CP6447,dormant_reactivation,0,0
AL000124,C27675,retail,20,JP,TR,39001.3,ach,CP2033,pep_match,1,0
AL000125,C81176,private,16,IR,US,10133.6,wire,CP8756,pep_match,3,0
AL000126,C67637,retail,13,DE,US,32855.42,wire,CP7334,pep_match,2,0
AL000127,C52101,retail,5,SG,FR,4314.05,ach,CP2680,pep_match,0,0
AL000128,C67008,retail,11,FR,AU,9310.58,ach,CP5498,structuring,0,0
AL000129,C89635,retail,0,US,AU,2589.78,cash,CP8179,velocity,0,0
AL000130,C85225,retail,14,JP,US,8068.76,ach,CP3255,high_risk_geo,0,0
AL000131,C44116,retail,17,FR,CA,184050.88,ach,CP8311,sanctions_match,0,1
AL000132,C51889,retail,2,SG,GB,3887.79,wire,CP6692,pep_match,1,0
AL000133,C25907,private,11,FR,KP,35536.28,cash,CP4292,dormant_reactivation,0,0
AL000134,C72739,private,2,SG,JP,100000.0,wire,CP9612,round_amount,3,0
AL000135,C82260,retail,4,CA,JP,3893.42,ach,CP3981,dormant_reactivation,0,0
AL000136,C78012,private,7,US,ZA,8466.03,wire,CP5653,structuring,3,1
AL000137,C96341,business,18,FR,FR,15669.56,ach,CP6531,high_risk_geo,0,0
AL000138,C92203,business,0,US,FR,10698.26,ach,CP9938,dormant_reactivation,1,0
AL000139,C36741,retail,13,BR,AU,2295.04,ach,CP6573,velocity,0,0
AL000140,C71141,retail,3,JP,JP,10000.0,cash,CP3007,round_amount,0,0
AL000141,C85718,retail,5,CA,AU,30845.8,wire,CP6123,pep_match,2,0
AL000142,C38199,retail,14,SG,FR,5000.0,wire,CP6781,round_amount,0,0
AL000143,C57964,retail,11,SG,US,5553.35,wire,CP1741,pep_match,0,0
AL000144,C25572,retail,19,DE,FR,96894.03,ach,CP3108,sanctions_match,0,0
AL000145,C27961,business,1,JP,JP,7384.51,ach,CP6456,pep_match,0,1
AL000146,C49221,business,19,GB,GB,4660.28,ach,CP6511,velocity,0,0
AL000147,C92478,retail,13,SG,FR,5000.0,ach,CP1436,round_amount,1,0
AL000148,C99224,retail,12,DE,SG,8948.07,cash,CP4968,structuring,2,1
AL000149,C71814,retail,16,AE,SG,2122.96,ach,CP2020,velocity,0,0
AL000150,C56437,private,17,JP,RU,125364.96,card,CP5331,high_risk_geo,0,0
AL000151,C74094,retail,22,DE,FR,9861.85,card,CP6194,structuring,2,1
AL000152,C20358,retail,9,FR,AU,25000.0,card,CP6674,round_amount,2,0
AL000153,C16653,business,18,SG,FR,18923.43,wire,CP9700,high_risk_geo,1,0
AL000154,C72350,retail,5,CA,SG,170457.4,wire,CP8822,sanctions_match,5,0
AL000155,C14888,retail,23,FR,US,4655.14,ach,CP3868,pep_match,0,0
AL000156,C11214,retail,9,AE,RU,24870.12,card,CP5888,pep_match,5,0
AL000157,C70150,retail,3,JP,SG,9663.82,ach,CP5215,structuring,0,0
AL000158,C77538,private,12,JP,ZA,37912.68,wire,CP6372,dormant_reactivation,2,0
AL000159,C53204,retail,14,GB,RU,4682.34,wire,CP5947,velocity,0,0
AL000160,C50760,retail,21,FR,DE,167112.64,ach,CP2923,sanctions_match,0,0
AL000161,C81989,retail,11,MX,DE,8847.22,ach,CP8714,structuring,8,1
AL000162,C20237,private,16,TR,NG,29871.56,cash,CP2838,pep_match,0,0
AL000163,C74071,retail,6,DE,GB,8518.58,ach,CP2489,structuring,0,0
AL000164,C12853,business,25,US,AU,100000.0,wire,CP7487,round_amount,0,0
AL000165,C19046,retail,1,DE,US,25000.0,cash,CP8734,round_amount,0,0
AL000166,C99486,retail,12,GB,AU,4964.64,ach,CP9835,velocity,2,0
AL000167,C49107,retail,24,AE,AU,7546.94,card,CP8585,high_risk_geo,2,1
AL000168,C14222,retail,23,AU,TR,25000.0,wire,CP7868,round_amount,0,0
AL000169,C15798,retail,1,AE,CA,148689.06,ach,CP7590,sanctions_match,1,0
AL000170,C52030,retail,19,US,FR,9586.57,cash,CP4881,structuring,0,0
AL000171,C65994,retail,5,DE,FR,139401.17,ach,CP9120,sanctions_match,1,0
AL000172,C41584,retail,24,AU,JP,20932.97,wire,CP4692,dormant_reactivation,0,0
AL000173,C53288,retail,7,SG,ZA,50000.0,ach,CP2295,round_amount,0,0
AL000174,C87015,business,2,AE,DE,67481.17,ach,CP4555,sanctions_match,1,1
AL000175,C41797,retail,24,MX,US,9852.38,card,CP4350,structuring,0,0
AL000176,C75179,retail,11,JP,AU,100000.0,ach,CP8635,round_amount,0,0
AL000177,C12125,retail,7,RU,JP,8611.84,ach,CP5272,structuring,1,0
AL000178,C99764,retail,17,AU,DE,1188.59,ach,CP6530,velocity,0,0
AL000179,C74004,retail,4,NG,SG,10000.0,cash,CP4015,round_amount,0,0
AL000180,C29795,business,20,US,CA,33477.13,cash,CP1149,pep_match,0,0
AL000181,C46010,retail,0,US,SG,24495.15,wire,CP9777,dormant_reactivation,1,1
AL000182,C56457,business,19,AU,TR,229553.19,ach,CP5379,sanctions_match,0,0
AL000183,C95182,private,20,AU,DE,11447.69,ach,CP1519,dormant_reactivation,2,0
AL000184,C22499,retail,25,SG,US,8734.9,ach,CP9653,dormant_reactivation,0,0
AL000185,C51220,business,1,SG,CA,46294.12,card,CP1256,dormant_reactivation,1,0
AL000186,C53480,business,21,AU,MX,9035.07,ach,CP7288,structuring,2,0
AL000187,C88067,private,19,CA,JP,24872.6,wire,CP7499,sanctions_match,0,0
AL000188,C86791,business,13,FR,SG,10000.0,ach,CP7227,round_amount,3,0
AL000189,C57277,retail,23,DE,CA,813.39,cash,CP2745,velocity,1,0
AL000190,C23538,retail,17,BR,FR,33560.5,wire,CP1430,sanctions_match,0,0
AL000191,C41816,retail,17,JP,AE,2098.36,cash,CP9537,velocity,1,0
AL000192,C20082,retail,13,GB,FR,10000.0,wire,CP6916,round_amount,0,0
AL000193,C91289,retail,12,SG,DE,5000.0,wire,CP7224,round_amount,0,0
AL000194,C62198,business,10,JP,GB,1637.29,card,CP6228,velocity,0,0
AL000195,C36188,retail,3,SG,TR,1911.47,card,CP9939,velocity,0,0
AL000196,C63627,retail,2,US,BR,10640.49,cash,CP9180,dormant_reactivation,2,0
AL000197,C76402,retail,18,FR,AU,18974.14,ach,CP7853,pep_match,1,0
AL000198,C83822,retail,20,JP,CA,192354.03,ach,CP7547,sanctions_match,0,0
AL000199,C68429,business,22,AU,CA,1148.91,cash,CP7129,velocity,1,0
AL000200,C28569,retail,2,GB,US,5000.0,wire,CP6707,round_amount,3,0
AL000201,C15856,retail,10,DE,JP,5000.0,ach,CP2885,round_amount,1,0
AL000202,C70562,retail,17,CA,GB,12346.86,wire,CP4798,dormant_reactivation,0,0
AL000203,C60965,private,14,TR,BR,5000.0,cash,CP1072,round_amount,3,0
AL000204,C79168,private,21,CA,ZA,8601.09,wire,CP6134,structuring,0,0
AL000205,C98094,retail,19,CA,SG,8450.55,ach,CP3194,high_risk_geo,2,0
AL000206,C93296,retail,13,CA,GB,12769.27,ach,CP9804,high_risk_geo,1,0
AL000207,C11256,retail,1,GB,SG,744.47,ach,CP8939,velocity,0,0
AL000208,C84107,retail,15,ZA,SG,50000.0,ach,CP1505,round_amount,2,0
AL000209,C24838,private,15,US,FR,9509.82,ach,CP2871,structuring,2,0
AL000210,C95678,retail,3,JP,US,36005.22,ach,CP5055,pep_match,8,0
AL000211,C55957,retail,25,RU,CA,5000.0,cash,CP8015,round_amount,0,0
AL000212,C48356,retail,10,DE,AE,12016.31,wire,CP5740,high_risk_geo,0,0
AL000213,C95969,retail,1,ZA,MM,4942.21,card,CP3078,pep_match,2,0
AL000214,C64293,private,20,GB,TR,42209.07,ach,CP7146,pep_match,0,0
AL000215,C22208,retail,10,CA,FR,46829.54,ach,CP8511,dormant_reactivation,5,0
AL000216,C54270,retail,10,CA,AU,9920.2,card,CP9967,structuring,0,0
AL000217,C30707,retail,3,SG,US,25343.9,cash,CP8230,sanctions_match,0,0
AL000218,C42819,retail,2,RU,GB,15232.9,card,CP2350,dormant_reactivation,3,0
AL000219,C37973,retail,22,TR,FR,35032.18,wire,CP8812,dormant_reactivation,1,0
AL000220,C60209,retail,15,SG,JP,6205.57,card,CP2463,pep_match,1,1
AL000221,C28724,private,20,JP,FR,8638.16,card,CP2120,structuring,3,0
AL000222,C21362,retail,14,GB,DE,37463.79,card,CP2646,dormant_reactivation,1,0
AL000223,C88644,retail,7,AU,AU,3965.83,wire,CP5668,velocity,1,0
AL000224,C41370,private,20,NG,KP,171385.37,wire,CP9108,high_risk_geo,0,1
AL000225,C81612,retail,18,CA,US,4672.93,wire,CP3830,velocity,2,0
AL000226,C47550,private,25,IR,CA,65915.23,wire,CP9209,sanctions_match,0,1
AL000227,C52827,private,25,AU,GB,463.81,wire,CP7401,velocity,3,0
AL000228,C90254,retail,13,CA,AU,47680.71,wire,CP1901,dormant_reactivation,0,0
AL000229,C43980,retail,16,GB,GB,765.26,ach,CP3735,dormant_reactivation,0,0
AL000230,C85582,retail,16,FR,CA,45014.89,ach,CP2262,pep_match,0,1
AL000231,C39937,retail,21,US,GB,828.68,cash,CP9336,velocity,3,0
AL000232,C95944,retail,1,AE,SG,1945.75,wire,CP7870,velocity,3,0
AL000233,C77603,retail,5,JP,CA,12456.16,ach,CP1752,high_risk_geo,3,0
AL000234,C49834,business,9,SG,MX,477.61,ach,CP4974,velocity,0,0
AL000235,C13133,retail,0,SG,KP,45042.08,cash,CP4817,dormant_reactivation,0,0
AL000236,C41217,retail,3,US,AE,32933.73,card,CP7878,pep_match,1,0
AL000237,C70091,retail,22,GB,CA,230357.96,card,CP2391,sanctions_match,0,0
AL000238,C61505,retail,10,AU,US,10000.0,wire,CP6345,round_amount,0,0
AL000239,C63282,retail,14,CA,TR,38553.3,wire,CP2978,pep_match,0,0
AL000240,C89076,retail,9,TR,SG,4269.79,wire,CP1660,velocity,2,0
AL000241,C63004,retail,5,TR,DE,2011.41,wire,CP8408,velocity,0,1
AL000242,C62505,retail,4,CA,GB,3483.25,card,CP7098,sanctions_match,8,1
AL000243,C26880,retail,20,AE,FR,3934.36,card,CP2506,pep_match,0,0
AL000244,C60165,business,12,MX,SG,42413.31,ach,CP7990,sanctions_match,2,0
AL000245,C82179,retail,9,GB,SG,7875.88,ach,CP8848,structuring,0,0
AL000246,C57069,retail,12,GB,DE,49705.55,ach,CP8859,dormant_reactivation,0,0
AL000247,C71824,retail,24,JP,GB,80059.95,wire,CP9674,sanctions_match,3,0
AL000248,C38758,retail,23,DE,IR,9238.53,wire,CP7363,structuring,2,1
AL000249,C84403,retail,22,TR,JP,36957.63,ach,CP3328,pep_match,1,0
AL000250,C72650,retail,7,SG,GB,5000.0,wire,CP1011,round_amount,0,1
AL000251,C28566,retail,18,GB,GB,42245.35,ach,CP2817,pep_match,0,0
AL000252,C67261,business,5,AE,AU,7020.64,ach,CP8982,high_risk_geo,0,0
AL000253,C85082,retail,5,JP,GB,25000.0,cash,CP7415,round_amount,0,0
AL000254,C20198,business,15,US,JP,48383.08,wire,CP4899,pep_match,1,0
AL000255,C18885,retail,6,CA,NG,36518.44,ach,CP6742,dormant_reactivation,0,0
AL000256,C59197,retail,12,US,SG,21098.73,wire,CP2661,dormant_reactivation,0,0
AL000257,C32296,business,3,DE,CA,42318.97,wire,CP7151,pep_match,0,1
AL000258,C23272,retail,13,CA,SG,1743.46,card,CP6424,dormant_reactivation,0,0
AL000259,C57294,retail,15,FR,FR,8010.06,ach,CP1062,structuring,0,1
AL000260,C62096,retail,3,SG,US,8174.12,wire,CP8715,structuring,0,0
AL000261,C70956,retail,1,CA,AU,8612.53,ach,CP5315,structuring,0,0
AL000262,C82561,retail,24,US,CA,167201.22,card,CP1999,sanctions_match,0,0
AL000263,C14551,business,9,BR,NG,46830.8,ach,CP9226,pep_match,0,1
AL000264,C65492,retail,6,GB,SG,9878.44,wire,CP2283,structuring,0,1
AL000265,C82358,business,12,GB,MX,4558.48,card,CP6343,velocity,0,0
AL000266,C23133,business,24,US,AU,103903.38,wire,CP2730,sanctions_match,1,0
AL000267,C32570,retail,19,FR,MX,25000.0,ach,CP5512,round_amount,0,0
AL000268,C49722,retail,11,AU,JP,12031.45,cash,CP6094,dormant_reactivation,3,1
AL000269,C64627,retail,10,CA,KP,8458.05,cash,CP2462,structuring,2,0
AL000270,C27779,retail,22,AU,JP,2999.05,cash,CP9589,pep_match,0,0
AL000271,C45910,business,11,DE,TR,3069.85,wire,CP7035,pep_match,0,0
AL000272,C55843,business,15,CA,DE,2469.49,ach,CP6640,velocity,5,0
AL000273,C39012,retail,24,NG,AE,185.88,wire,CP4688,velocity,2,0
AL000274,C89736,retail,0,AU,US,10000.0,ach,CP6004,round_amount,1,0
AL000275,C91737,private,21,MX,AU,17565.72,wire,CP7506,pep_match,0,0
AL000276,C46291,retail,8,JP,FR,3437.85,ach,CP5278,velocity,0,0
AL000277,C62965,retail,25,NG,GB,20309.49,card,CP6236,high_risk_geo,2,0
AL000278,C34892,retail,22,SG,SY,50000.0,ach,CP6622,round_amount,0,0
AL000279,C22793,private,17,SG,MM,2561.21,card,CP8713,velocity,2,0
AL000280,C53426,retail,9,GB,MX,4647.13,ach,CP7089,dormant_reactivation,1,0
AL000281,C64146,retail,12,CA,CA,10000.0,ach,CP1885,round_amount,2,0
AL000282,C33176,business,15,DE,SG,8492.88,cash,CP6134,structuring,2,0
AL000283,C66847,retail,2,FR,GB,20289.67,ach,CP8035,high_risk_geo,2,0
AL000284,C98702,retail,16,BR,DE,18780.45,wire,CP1067,dormant_reactivation,0,0
AL000285,C48119,retail,1,JP,CA,100000.0,ach,CP8469,round_amount,0,0
AL000286,C62873,private,5,MX,GB,4980.89,ach,CP1313,velocity,2,0
AL000287,C93928,retail,25,GB,US,15092.67,wire,CP5190,high_risk_geo,1,1
AL000288,C26199,private,13,ZA,MM,163565.12,wire,CP9966,sanctions_match,1,0
AL000289,C27978,retail,19,DE,US,2133.31,wire,CP7862,velocity,0,0
AL000290,C56913,business,16,CA,CA,10000.0,ach,CP7713,round_amount,2,0
AL000291,C85255,retail,2,SG,NG,25000.0,wire,CP9095,round_amount,0,0
AL000292,C23082,retail,8,CA,CA,3239.47,ach,CP3862,velocity,5,0
AL000293,C28139,business,1,MX,MX,5000.0,wire,CP3793,round_amount,2,1
AL000294,C60556,retail,14,ZA,CA,4084.07,wire,CP8835,velocity,0,0
AL000295,C67430,private,25,TR,US,8137.89,ach,CP3969,pep_match,1,0
AL000296,C44290,retail,14,US,NG,8857.94,ach,CP6148,structuring,3,1
AL000297,C96732,retail,19,ZA,DE,43682.55,ach,CP5072,dormant_reactivation,1,0
AL000298,C19812,retail,15,AU,US,161027.98,wire,CP9055,sanctions_match,2,0
AL000299,C85108,retail,14,FR,DE,17866.35,ach,CP8341,high_risk_geo,0,0
AL000300,C21913,retail,17,JP,SG,32737.98,wire,CP5990,dormant_reactivation,0,0
AL000301,C88636,business,17,SG,MX,2902.91,wire,CP8751,pep_match,0,0
AL000302,C59006,private,9,SG,DE,85668.6,card,CP2741,sanctions_match,5,0
AL000303,C61497,retail,3,GB,NG,20578.7,wire,CP4532,dormant_reactivation,0,0
AL000304,C69950,retail,24,JP,AU,231693.32,card,CP9260,sanctions_match,1,0
AL000305,C32760,retail,5,US,AU,29339.01,card,CP3103,pep_match,2,0
AL000306,C54939,retail,8,JP,AU,100000.0,card,CP5819,round_amount,2,0
AL000307,C36330,retail,17,AU,FR,35134.42,card,CP4435,pep_match,1,0
AL000308,C25126,retail,22,JP,TR,32574.3,card,CP6771,dormant_reactivation,0,0
AL000309,C97851,retail,12,AU,FR,21234.84,wire,CP1927,pep_match,0,0
AL000310,C14234,retail,6,GB,MM,774.82,wire,CP6876,velocity,2,0
AL000311,C60014,business,22,DE,AU,8918.92,cash,CP7349,structuring,1,0
AL000312,C93071,retail,14,JP,AE,186045.66,wire,CP7025,sanctions_match,2,0
AL000313,C25643,private,5,DE,TR,2271.63,card,CP7180,velocity,0,0
AL000314,C88234,retail,4,FR,FR,82975.42,cash,CP1833,sanctions_match,0,0
AL000315,C76209,private,5,NG,JP,196115.85,ach,CP3611,sanctions_match,0,0
AL000316,C72240,retail,24,CA,DE,16727.8,ach,CP1144,dormant_reactivation,0,0
AL000317,C24860,retail,12,DE,ZA,9876.54,wire,CP7322,high_risk_geo,3,0
AL000318,C77357,retail,20,US,MX,21056.33,ach,CP2349,high_risk_geo,0,0
AL000319,C67047,business,3,US,DE,31549.82,wire,CP2181,dormant_reactivation,1,0
AL000320,C39837,private,2,SG,AE,18775.38,wire,CP5237,sanctions_match,0,0
AL000321,C86756,retail,19,AU,US,5000.0,ach,CP1745,round_amount,1,0
AL000322,C14039,private,12,CA,FR,67301.04,cash,CP8765,high_risk_geo,0,0
AL000323,C94926,retail,25,AU,FR,7374.96,ach,CP7113,dormant_reactivation,3,0
AL000324,C55069,business,9,GB,US,16933.1,ach,CP4469,high_risk_geo,3,0
AL000325,C17128,retail,25,GB,DE,21694.97,wire,CP9992,high_risk_geo,0,0
